gobi,YR,NTP,NCC,CSD,Qaidam Basin,Qilian Piedmont
1461,671,501.5,2030.212523,1169,2492.205339,295.9
335,279,612.6,2067.792377,1425,2621.471237,1989.3
1858,583,642.9,2152.34192,1458,2676.345837,2031.8
824,1553,750.7,2187.588211,1501,2730.8152,285.4
1947,1891,755.8,2307.22552,1637,426.5136452,1928.2
1317,235,764.9,2341.24469,1687,433.755155,2513.9
1205,82,835.7,2350.819787,1707,483.7048825,1843.7
1227,430,838.5,2360.557815,1775,632.7954426,2474.3
1405,2605,847.1,2366.976236,1797,662.5884433,1007.2
1490,794,904.4,2370.118766,1838,684.3273329,416.8
887,282,932,2404.244014,1860,696.1130656,1874.3
2115,530,934.5,2425.656436,1891,697.1137509,453.9
948,431,946.2,2432.974532,1897,708.7574305,2511.8
1256,940,964.7,2437.690105,1912,711.0482855,901
926,2006,981.5,2439.614777,1917,721.2217933,1526.1
2935,2279,982.2,2443.882671,1928,735.0652619,1713.9
2779,275,1000.3,2446.437369,1957,743.6950857,459
1741,879,1075.7,2448.137995,1969,748.9562037,486.9
1005,246,1088.7,2459.0381,1988,749.1773708,294.1
818,1934,1163.9,2464.930024,1995,757.866512,380.9
1750,479,1188.7,2471.216228,2000,765.3727565,395.1
1522,580,1259.8,2490.840646,2041,767.102773,1780.9
383,224,1366.5,2497.836473,2172,773.0920084,2493.8
363,1142,1491.3,2499.170053,2186,778.2008084,2289.8
353,1054,1558.2,2500.912108,2201,780.9476296,945.2
361,1878,1682.7,2526.592123,2251,791.5806247,432.8
380,410,1734.2,2530.409958,2262,799.2240058,453.2
353,250,1767.4,2543.792613,2456,806.6010754,1688.6
322,2499,1773.7,2543.792613,2457,808.3327863,443.9
336,428,2012.5,2543.991414,2465,810.2205595,292.8
343,891,2046.2,2547.862566,2469,811.7211782,1379.3
359,302,2086.4,2548.457205,2500,828.8737088,267.7
333,294,2157.5,2560.298644,2536,829.9029469,442
352,2024,2252,2562.164631,2727,831.9274878,271.8
357,748,2290.9,2567.259192,171,833.1987727,1031.8
352,880,2417.2,2572.725528,172,834.7437145,275.4
368,351,2432.9,2597.836045,193,838.1706503,314.5
332,415,2512.7,2629.368411,223,840.4807997,1999.9
361,263,2678.1,2643.163336,234,842.5537918,966.5
331,749,3349.4,132.7099669,240,848.5017349,1016.6
384,1790,99.9,211.9174232,245,853.567095,492.1
347,659,101.4,217.1551662,246,854.7257246,453.7
320,434,102.6,224.9415567,251,855.7000841,443.2
348,257,103.5,233.3403082,255,856.8389952,464.6
326,237,103.6,242.0385823,255,856.9460488,1432.5
348,232,103.6,243.9630425,261,858.2460918,550.9
907,1934,104.5,254.3823941,264,860.7377513,276.8
