JX,LC,LD,BGY,XF,LNT,JBN,ZTS,HMG,LT,WN,CX,GH,XN
2341.0,322.0,669.0,2414.4,427.0,207.0,964.6,2509.0,1856.13855536528,292.4,265.0,342.0,1840.9,422.0
1884.0,422.0,1425.0,1582.4,437.0,267.0,875.5,291.0,1986.98128505615,1850.9,278.0,1450.0,2537.2,424.0
314.0,438.0,465.0,335.0,440.0,273.0,1950.0,2483.0,439.980541327875,381.9,281.0,454.0,1743.9,426.0
2183.0,2576.0,1447.0,1449.7,444.0,210.0,236.3,2494.0,1854.76772924318,1920.7,284.0,2485.0,1821.5,431.0
2503.0,400.0,1562.0,954.7,457.0,377.0,432.2,2238.0,268.701187560121,419.6,285.0,2190.0,2499.6,431.0
1869.0,410.0,295.0,478.7,462.0,188.0,2468.3,354.0,412.068631034195,414.7,292.0,343.0,275.2,431.0
923.0,432.0,684.0,423.0,511.0,741.0,842.6,277.0,1835.08740217578,300.6,298.0,459.0,273.1,433.0
643.0,390.0,1393.0,1165.4,524.0,244.0,441.6,2132.0,1388.68804577724,825.2,373.0,270.0,322.8,444.0
2079.0,601.0,328.0,1591.4,524.0,558.0,338.6,410.0,2477.26866359037,1512.9,378.0,308.0,1907.4,451.0
1883.0,407.0,254.0,388.4,535.0,227.0,231.5,2472.0,2255.90827524751,299.2,380.0,233.0,1819.6,459.0
2428.0,379.0,767.0,897.5,616.0,404.0,522.9,2301.0,1952.0162889685,1874.2,389.0,962.0,1689.5,459.0
2478.0,730.0,438.0,361.1,651.0,405.0,290.0,2507.0,1988.47778337781,105.4,392.0,1613.0,1886.0,461.0
1675.0,778.0,950.0,840.7,653.0,964.0,493.9,519.0,1633.29121912847,1637.0,393.0,1900.0,1863.3,462.0
2068.0,1804.0,287.0,799.8,788.0,184.0,410.7,2093.0,1692.38772827845,446.8,403.0,1128.0,1883.2,466.0
1894.0,544.0,438.0,2059.8,814.0,524.0,1346.0,2494.0,258.793114267074,262.4,404.0,470.0,367.6,467.0
286.0,388.0,1852.0,422.0,852.0,446.0,750.5,269.0,1991.43016751347,409.0,405.0,461.0,1924.8,482.0
285.0,1279.0,478.0,401.5,867.0,683.0,278.4,2239.0,2011.33535483348,310.4,410.0,1500.0,2556.8,498.0
293.0,280.0,2468.0,988.9,900.0,319.0,722.3,210.0,1751.88274383837,2695.0,434.0,1919.0,332.2,506.0
263.0,393.0,882.0,378.8,933.0,431.0,865.3,266.0,1597.34623520977,240.2,437.0,435.0,2896.7,506.0
2463.0,441.0,930.0,883.8,938.0,2006.0,260.9,395.0,392.797503628906,222.7,441.0,431.0,1885.4,508.0
1857.0,399.0,2694.0,246.6,980.0,808.0,263.9,1902.0,2375.26331511499,2508.2,444.0,1436.0,1646.5,509.0
1856.0,229.0,429.0,386.3,987.0,248.0,449.5,737.0,298.411986794775,704.1,450.0,343.0,1914.6,524.0
2514.0,151.0,996.0,399.5,1233.0,413.0,328.7,834.0,451.049382567332,703.3,452.0,263.0,322.3,555.0
279.0,218.0,1470.0,379.9,1461.0,260.0,418.4,2423.0,246.809022976036,447.5,453.0,2419.0,1696.3,567.0
2462.0,728.0,507.0,422.1,1818.0,353.0,1074.7,293.0,391.477616972175,650.7,456.0,469.0,,627.0
246.0,431.0,230.0,265.9,1665.0,403.0,2188.5,2515.0,466.876860645287,712.6,456.0,267.0,,710.0
1902.0,1452.0,2489.0,228.7,1755.0,369.0,240.6,2805.0,340.465127895948,423.9,456.0,1641.0,,734.0
2486.0,237.0,517.0,2442.5,1800.0,748.0,477.4,2438.0,1874.49124293922,406.7,459.0,1033.0,,745.0
1896.0,2075.0,252.0,329.4,2078.0,189.0,274.7,1791.0,2474.48942208178,415.8,461.0,899.0,,750.0
244.0,363.0,438.0,392.5,1880.0,216.0,875.9,886.0,872.719139746162,284.1,463.0,521.0,,752.0
2494.0,790.0,965.0,735.5,2139.0,1368.0,274.4,1307.0,777.748625006789,238.0,468.0,1396.0,,772.0
1447.0,818.0,449.0,378.9,2450.0,262.0,239.6,317.0,307.038979405274,241.4,497.0,547.0,,775.0
277.0,865.0,2135.0,375.1,2998.0,441.0,1878.5,1633.0,434.416383005619,932.9,503.0,1996.0,,793.0
2015.0,195.0,226.0,250.7,506.0,746.0,423.7,474.0,456.086305070451,2811.0,550.0,293.0,,819.0
423.0,445.0,942.0,844.7,439.0,334.0,79.3,919.0,331.296483669309,2352.4,606.0,1957.0,,830.0
2341.0,101.0,509.0,217.5,814.0,242.0,1977.9,414.0,451.245642114722,429.6,656.0,412.0,,841.0
277.0,942.0,367.0,379.6,715.0,226.0,204.1,244.0,2416.91628689201,438.4,668.0,303.0,,858.0
2434.0,200.0,446.0,282.5,442.0,405.0,993.7,453.0,1686.71829089639,1935.7,787.0,429.0,,888.0
321.0,426.0,981.0,1811.1,247.0,270.0,263.1,1404.0,439.280027950067,185.6,790.0,2510.0,,933.0
1620.0,440.0,1365.0,1568.2,1849.0,462.0,145.3,403.0,1965.86689365891,895.4,794.0,2481.0,,1051.0
1697.0,405.0,715.0,243.9,428.0,110.0,1715.2,340.0,504.690579962259,620.5,833.0,943.0,,1262.0
2447.0,296.0,452.0,852.9,787.0,804.0,1692.4,379.0,275.564007259674,89.6,855.0,2315.0,,1347.0
1772.0,2075.0,495.0,289.0,426.0,147.0,1482.4,2177.0,267.276016505173,715.6,876.0,1301.0,,1435.0
269.0,372.0,260.0,311.2,1902.0,430.0,466.4,311.0,415.171180017389,1149.9,882.0,1744.0,,1348.0
1865.0,2326.0,2267.0,439.4,475.0,956.0,273.1,797.0,432.705535318431,293.9,886.0,317.0,,1350.0
1868.0,2103.0,807.0,416.0,509.0,587.0,697.0,1811.0,213.892646644953,568.7,926.0,488.0,,1702.0
1890.0,612.0,636.0,395.0,595.0,407.0,1901.5,1921.0,874.678733374429,446.6,941.0,412.0,,1565.0
873.0,379.0,2526.0,1447.0,233.0,2749.0,300.2,1250.0,287.941224258582,389.3,947.0,419.0,,1587.0
432.0,1934.0,485.0,249.4,796.0,946.0,1449.9,2401.0,428.371772692034,763.0,955.0,426.0,,1766.0
305.0,367.0,1981.0,411.0,262.0,465.0,263.4,272.0,1109.04747023307,1852.4,980.0,280.0,,1884.0
2519.0,428.0,2448.0,258.4,291.0,1851.0,2118.5,2447.0,2226.86919596818,419.9,995.0,1599.0,,1989.0
1973.0,223.0,99.0,317.9,737.0,908.0,470.6,355.0,568.42745062387,301.7,1383.0,422.0,,1972.0
431.0,484.0,34.0,229.0,276.0,389.0,250.2,415.0,263.30649762939,416.2,1287.0,965.0,,1989.0
2534.0,265.0,325.0,196.4,496.0,214.0,2004.5,374.0,216.991117104814,928.1,1351.0,278.0,,2032.0
1832.0,402.0,243.0,482.0,335.0,1881.0,268.2,1730.0,1682.55192525461,105.6,1521.0,998.0,,2280.0
1733.0,412.0,1418.0,431.0,741.0,215.0,458.9,781.0,444.120229720157,505.1,1843.0,1030.0,,2391.0
2598.0,14.0,1206.0,275.1,433.0,360.0,498.5,1685.0,1899.33509900707,1164.9,1933.0,853.0,,2399.0
1976.0,1339.0,516.0,1832.3,1066.0,487.0,243.3,1688.0,1633.92175965842,1828.6,1854.0,974.0,,2363.0
1981.0,258.0,847.0,459.7,427.0,401.0,239.7,440.0,266.577446476724,333.3,2146.0,1673.0,,2498.0
324.0,444.0,429.0,432.8,484.0,467.0,454.3,1643.0,839.865707749006,1409.3,2120.0,2475.0,,2528.0
1873.0,326.0,466.0,388.8,430.0,738.0,410.0,274.0,409.184570750429,245.8,2415.0,1184.0,,2606.0
277.0,908.0,1357.0,313.8,1872.0,215.0,279.1,1703.0,2260.67607481552,708.3,2465.0,1390.0,,2437.0
1942.0,491.0,1539.0,271.6,235.0,1908.0,1975.9,234.0,1468.52532734499,400.0,2391.0,1809.0,,815.0
2516.0,263.0,2624.0,861.2,1804.0,209.0,1098.2,1760.0,2383.1200414983,430.3,2450.0,458.0,,815.0
2399.0,1748.0,387.0,234.1,206.0,380.0,2047.1,406.0,237.117342587373,471.2,,308.0,,252.0
1933.0,383.0,1500.0,416.7,482.0,198.0,212.0,1866.0,758.986681603637,259.0,,1514.0,,332.0
2550.0,204.0,417.0,277.5,487.0,341.0,248.0,1740.0,280.391213108937,236.7,,291.0,,862.0
419.0,398.0,284.0,296.1,2046.0,399.0,2520.5,247.0,450.820933583983,62.5,,1747.0,,286.0
